Dominica 143 - 15 - 14 71 1 0 3060 - - 89 - -
Dominican_Republic 76 149 47 102 41 8507 201 9 2230 67 84 92 14 53
East_Timor 36 - 124 - 85 750 20 2 - 49 - - - -
Ecuador 98 178 30 107 24 12880 308 9 1240 70 92 98 15 50
Egypt 83 282 41 189 35 69080 1672 69 1530 68 55 86 23 39
El_Salvador 85 191 39 130 33 6400 167 7 2050 70 79 81 11 56
Equatorial_Guinea 26 316 153 188 101 470 20 3 700 51 83 38 - -
Eritrea 41 - 111 - 72 3816 152 17 190 52 30 40 - -
Estonia 147 52 12 40 11 1377 12 0 3880 71 98 98 18 45
Ethiopia 21 269 172 180 116 64459 2848 490 100 44 39 30 18 48
Fiji 121 97 21 71 18 823 20 0 2130 69 93 99 - -
Finland 178 28 5 22 4 5178 52 0 23940 78 - 100 24 36
France 164 34 6 29 4 59453 733 4 22690 79 - 100 20 40
Gabon 56 - 90 - 60 1262 48 4 3160 53 71 93 - -
Gambia 35 364 126 207 91 1337 51 6 330 47 37 46 12 55
Georgia 102 70 29 52 24 5239 56 2 620 73 100 98 18 44
Germany 178 40 5 34 4 82007 697 3 23700 78 - 87 21 39
Ghana 49 215 100 126 57 19734 653 65 290 57 70 50 16 47
Greece 178 64 5 53 5 10623 96 0 11780 78 97 97 20 40
Grenada 110 - 25 - 20 94 2 0 3720 - - 98 - -
Guatemala 72 202 58 136 43 11687 409 24 1670 65 69 81 11 61
Guinea 22 380 169 215 109 8274 365 62 400 48 41 49 17 47
Guinea-Bissau 8 - 211 - 130 1227 55 12 160 45 37 41 9 59
Guyana 64 126 72 100 54 763 17 1 840 63 98 97 17 47
Haiti 38 253 123 169 79 8270 256 31 480 53 49 54 - -
Holy_See - - - - - - - - - - - - - -
Honduras 88 204 38 137 31 6575 204 8 900 66 81 86 9 59
Hungary 152 57 9 51 8 9917 89 1 4800 72 99 90 25 34
Iceland 189 22 4 17 3 281 4 0 28880 79 - 100 - -
India 54 242 93 146 67 1025096 25112 2335 460 64 56 76 20 46
Indonesia 77 216 45 128 33 214840 4440 200 680 67 87 91 21 41
Iran 81 281 42 164 35 71369 1592 67 1750 69 77 97 - -
Iraq 33 171 133 117 107 23584 823 109 2170 63 58 93 - -
Ireland 164 36 6 31 6 3841 57 0 23060 77 - 90 18 43
Israel 164 39 6 32 6 6172 126 1 16710 79 96 100 17 44
Italy 164 50 6 44 4 57503 505 3 19470 79 98 100 23 36
Jamaica 125 74 20 56 17 2598 54 1 2720 75 87 94 17 46
Japan 178 40 5 31 3 127335 1192 6 35990 81 - 100 25 36
Jordan 94 139 33 97 27 5051 169 6 1750 71 90 94 19 44
Kazakhstan 61 - 76 - 61 16095 263 20 1360 65 98 88 18 42
Kenya 40 205 122 122 78 31293 1080 132 340 50 82 74 15 51
Kiribati 67 - 69 - 51 84 3 0 830 - - 71 - -
North_Korea 73 120 55 85 42 22428 387 21 745 65 100 - - -
South_Korea 178 127 5 90 5 47069 611 3 9400 75 98 97 20 39
Kuwait 151 128 10 89 9 1971 35 0 18030 76 82 66 - -
Kyrgyzstan 71 180 61 135 52 4986 101 6 280 68 97 82 19 43
Laos 49 235 100 155 87 5403 197 20 310 54 62 69 19 45
Latvia 121 44 21 35 17 2406 18 0 3300 71 100 93 21 40
Lebanon 95 85 32 65 28 3556 69 2 4010 73 86 90 - -
Lesotho 34 203 132 137 91 2057 68 9 550 44 84 65 9 60
Liberia 5 288 235 190 157 3108 172 40 490 53 53 83 - -
Libya 130 270 19 159 16 5408 146 3 5540 71 80 96 - -
Liechtenstein 149 - 11 - 10 33 0 0 9206 - - - - -
Lithuania 152 70 9 52 8 3689 33 0 3270 72 100 94 21 40
Luembourg 178 41 5 33 5 442 5 0 41770 78 - 96 23 37
Madagascar 32 186 136 112 84 16437 696 95 260 53 47 52 17 45
Malawi 15 361 183 205 114 11572 525 96 170 40 60 78 - -
Malaysia 158 105 8 73 8 22633 522 4 3640 73 88 94 13 54
Maldives 58 300 77 180 58 300 11 1 2040 67 96 98 - -
Mali 6 517 231 293 141 11677 583 135 210 52 40 43 13 56
Malta 178 42 5 37 5 392 5 0 9120 78 92 99 - -
Marshall_Islands 70 - 66 - 54 52 2 0 2190 - - 100 - -
Mauritania 15 310 183 180 120 2747 120 22 350 52 40 61 18 44
Mauritius 130 92 19 67 17 1171 19 0 3830 72 84 94 - -
Mexico 102 134 29 94 24 100368 2295 67 5540 73 91 100 11 57
Micronesia 114 - 24 - 20 126 4 0 2150 - - - - -
Moldova 95 88 32 64 27 4285 50 2 380 67 99 86 16 47
Monaco 178 - 5 - 4 34 0 0 9206 - - - - -
Mongolia 61 - 76 - 61 2559 57 4 400 63 99 85 20 41
Morocco 78 211 44 132 39 30430 775 34 1180 68 49 74 17 47
Mozambique 12 313 197 180 125 18644 795 157 210 39 44 50 17 47
Myanmar 43 252 109 169 77 48364 1173 128 220 56 85 68 - -
Namibia 69 206 67 129 55 1788 63 4 1960 45 82 80 - -
Nauru 98 - 30 - 25 13 0 0 - - 95 98 - -
Nepal 55 315 91 212 66 23593 821 75 250 59 41 66 19 45
Netherlands 164 22 6 18 5 15930 175 1 24040 78 - 100 20 40
New_Zealand 164 26 6 22 6 3808 53 0 12380 78 - 100 - -
Nicaragua 79 193 43 130 36 5208 173 7 420 69 64 80 8 64
Niger 2 354 265 211 156 11227 625 166 170 46 16 30 10 53
Nigeria 15 207 183 123 110 116929 4702 860 290 52 64 56 13 56
Niue - - - - - 2 0 - - - - 100 - -
Norway 189 23 4 19 4 4488 53 0 35530 79 - 100 24 36
Occupied_Palestinian_Territory 114 - 24 - 21 3311 132 3 1350 72 - 94 - -
Oman 146 280 13 164 12 2622 94 1 4940 71 72 65 - -
Pakistan 43 227 109 139 84 144971 5340 582 420 60 43 46 22 41
Palau 102 - 29 - 24 20 1 0 6730 - - - - -
Panama 110 88 25 58 19 2899 61 2 3290 74 92 98 12 53
Papua_New_Guinea 53 214 94 143 70 4920 160 15 580 57 76 84 12 57
Paraguay 98 90 30 66 26 5636 170 5 1300 70 93 91 8 61
Peru 85 234 39 142 30 26093 606 24 2000 69 90 100 13 51
Philippines 88 110 38 80 29 77131 2065 78 1040 70 95 96 14 52
Poland 152 70 9 62 8 38577 370 3 4240 74 100 97 21 40
Portugal 164 112 6 81 5 10033 113 1 10670 76 92 100 19 43
Qatar 138 140 16 94 11 575 10 0 12000 70 81 95 - -
Romania 121 82 21 69 19 22388 233 5 1710 70 98 93 21 40
Russian_Federation 121 64 21 48 18 144664 1230 26 1750 66 99 93 13 54
Rwanda 15 206 183 122 96 7949 320 59 220 40 67 68 23 39
Saint_Kitts_and_Nevis 114 - 24 - 20 38 1 0 6880 - - 89 - -
Saint_Lucia 130 - 19 - 17 149 3 0 3970 74 - 96 15 48
Saint_Vincent_and_the_Grenadines 110 - 25 - 22 114 2 0 2690 - - 84 - -
Samoa 110 210 25 134 20 159 4 0 1520 70 - 97 - -
San_Marino 164 - 6 - 4 27 0 0 9206 - - - - -
Sao_Tome_and_Principe 63 - 74 - 57 140 6 0 280 - - 74 - -
Saudi_Arabia 105 250 28 170 23 21028 715 20 7230 72 77 58 - -
Senegal 30 300 138 173 79 9662 369 51 480 54 37 47 17 48
Seychelles 137 - 17 - 13 81 3 0 7050 - 88 100 - -
Sierra_Leone 1 390 316 220 182 4587 232 73 140 40 36 37 3 63
Singapore 189 40 4 31 3 4108 48 0 24740 78 92 93 - -
Slovakia 152 40 9 33 8 5403 55 0 3700 73 100 - 28 31
Slovenia 178 45 5 37 4 1985 17 0 9780 76 100 94 23 38
Solomon_Islands 114 185 24 120 20 463 18 0 580 69 - - - -
Somalia 7 - 225 - 133 9157 481 108 120 48 - 12 - -
South_Africa 66 130 71 89 56 43792 1105 78 2900 50 85 95 8 65
Spain 164 57 6 46 4 39921 359 2 14860 79 98 100 20 40
Sri_Lanka 130 133 19 83 17 19104 332 6 830 72 92 97 20 43
Sudan 46 208 107 123 65 31809 1098 117 330 56 57 45 - -
Suriname 95 98 32 70 26 419 8 0 1690 71 94 89 - -
Swaziland 27 225 149 150 106 938 32 5 1300 42 80 71 9 64
Sweden 193 20 3 16 3 8833 75 0 25400 80 - 100 24 35
Switzerland 164 27 6 22 5 7170 65 0 36970 79 - 99 20 40
Syria 105 201 28 136 23 16610 495 14 1000 71 74 99 - -
Tajikistan 64 140 72 95 53 6135 149 11 170 68 99 84 21 40
Tanzania 23 241 165 142 104 35965 1393 230 270 51 75 47 18 46
Thailand 105 148 28 103 24 63584 1170 33 1970 70 96 81 16 48
TFYR_of_Macedonia 109 177 26 120 22 2044 25 1 1690 73 - 94 - -
Togo 29 267 141 158 79 4657 182 26 270 52 57 63 - -
Tonga 125 - 20 - 17 99 2 0 1530 - 99 95 - -
Trinidad_and_Tobago 125 73 20 61 17 1300 17 0 5540 75 98 93 16 46
Tunisia 108 254 27 170 21 9562 176 5 2070 70 71 94 16 48
Turkey 79 219 43 163 36 67632 1424 61 2540 70 85 88 16 48
Turkmenistan 51 - 99 - 76 4835 127 13 990 67 - 80 16 48
Tuvalu 74 - 52 - 38 10 0 0 - - 98 100 - -
Uganda 36 224 124 133 79 24023 1222 152 280 45 67 87 18 45
Ukraine 125 53 20 41 17 49112 400 8 720 68 99 - 22 38
United_Arab_Emirates 152 223 9 149 8 2654 41 0 18060 75 87 78 - -
United_Kingdom 161 27 7 23 6 59542 653 5 24230 78 - 99 18 43
United_States 158 30 8 26 7 285926 3827 31 34870 77 - 95 16 46
Uruguay 138 56 16 48 14 3361 58 1 5670 75 98 94 15 48
Uzbekistan 68 - 68 - 52 25257 533 36 550 69 99 78 14 49
Vanuatu 81 225 42 141 34 202 6 0 1050 68 - 96 - -
Venezuela 120 75 22 56 19 24632 577 13 4760 73 93 88 11 53
Vietnam 88 219 38 147 30 79175 1586 60 410 69 93 94 19 45
Yemen 46 340 107 220 79 19114 953 102 460 61 46 61 20 41
Yugoslavia 130 120 19 87 17 10538 120 2 940 73 98 97 - -
Zambia 10 213 202 126 112 10649 448 90 320 42 78 66 11 57
Zimbabwe 38 159 123 97 76 12852 459 56 480 43 93 80 13 56
